title,date,source,location,article_count,focus_count
吉达联合3-0费哈，本泽马双响，巴卡维乌龙,2025-05-12 04:06:14　,懂球帝,北京,259341,29410
阿斯报：维尼修斯初步检查结果二级扭伤，很难出战马洛卡,2025-05-12 04:06:21　,直播吧,福建,1149286,689556
登贝莱：我在大巴黎感到非常满足；会尽全力去赢得欧冠冠军,2025-05-12 04:06:15　,懂球帝,北京,259341,29410
泽林斯基：力争欧冠决赛首发？弗拉泰西证明了替补同样重要,2025-05-12 04:06:14　,懂球帝,北京,259341,29410
小因扎吉：功劳属于球员，我很幸运能执教这样一个团队,2025-05-12 04:06:14　,懂球帝,北京,259341,29410
科瓦奇向记者承诺：若多特能进下赛季欧冠，我请大家喝一杯,2025-05-12 03:45:16　,懂球帝,北京,259341,29410
泽林斯基：我的状态还能继续提升；必须寄希望于那不勒斯犯错,2025-05-12 03:45:16　,懂球帝,北京,259341,29410
泽林斯基：客场击败都灵非常重要，我们必须相信自己,2025-05-12 03:45:16　,懂球帝,北京,259341,29410
WTA1000罗马站：安德列娃击败诺斯科娃晋级16强，下轮将战陶森,2025-05-12 03:34:13　,懂球帝,北京,259341,29410
费尔明：做裁判是非常复杂的工作，我们习惯了也不会去评价,2025-05-12 03:34:12　,懂球帝,北京,259341,29410
郑钦文直落两盘击败弗莱彻，连续三年闯入罗马站16强,2025-05-12 03:34:13　,懂球帝,北京,259341,29410
本赛季五大联赛有两名球员戴帽后输球，对手都是巴萨,2025-05-12 03:34:12　,懂球帝,北京,259341,29410
科瓦奇：作为一支球队想取得成功，需要有一个非常好的后盾,2025-05-12 03:34:13　,懂球帝,北京,259341,29410
UNFP法甲赛季最佳阵容：巴黎9将入选；谢尔基、舍瓦利耶在列,2025-05-12 03:34:13　,懂球帝,北京,259341,29410
小因：仍相信我们能拿意甲冠军；踢巴黎前先考虑拉齐奥和科莫,2025-05-12 03:34:12　,懂球帝,北京,259341,29410
官方：奥斯曼-登贝莱获UNFP法甲赛季最佳球员奖,2025-05-12 03:34:13　,懂球帝,北京,259341,29410
豪组杜卡登三巨头⁉️美媒模拟：快船得到杜兰特 送出3将+2选秀权,2025-05-12 03:24:06　,直播吧,福建,1149286,689556
2-1逆转！世界第一杀疯了：豪取14连胜+闯进16强，郑钦文创造纪录,2025-05-11 18:07:10　,侃球熊弟,广东,17346,62467
阿尔特塔：从开始到结束，一些不该有的状况一直都有,2025-05-12 03:02:11　,懂球帝,北京,259341,29410
巩晓彬谈“逍遥王”绰号：打球比赛放松让大家感觉比较逍遥,2025-05-12 03:02:11　,懂球帝,北京,259341,29410
阿斯拉尼：进入欧冠决赛很棒，但我们要专注于联赛最后两轮,2025-05-12 03:02:11　,懂球帝,北京,259341,29410
0-2！WTA大冷门，NO.121淘汰莱巴金娜，郑钦文重大利好，保送8强,2025-05-11 22:12:40　,侃球熊弟,广东,17346,62467
扎莱夫斯基：我想要继续留在国米，接下来决定权在俱乐部手中,2025-05-12 02:52:11　,懂球帝,北京,259341,29410
小因率拉齐奥和国米分别达成意甲100胜，联赛历史主帅第二人,2025-05-12 02:52:11　,懂球帝,北京,259341,29410
足坛一夜动态：巴萨4-3皇马！利物浦战平阿森纳 曼联惨遭7轮不胜,2025-05-12 02:25:28　,念洲,山东,5552,4154
剑南春｜国米客场2-0都灵，扎莱夫斯基破门，阿斯拉尼点射,2025-05-12 02:41:28　,懂球帝,北京,259341,29410
毕包1-0阿拉维斯，马努-桑切斯乌龙,2025-05-12 02:41:28　,懂球帝,北京,259341,29410
U21联赛综述：浙江8-0赣州，新鹏城、国安、江西斩获5球大胜,2025-05-12 02:41:28　,懂球帝,北京,259341,29410
曼纳：德布劳内？那不勒斯密切关注转会市场，但现在不谈这个,2025-05-12 02:41:28　,懂球帝,北京,259341,29410
斯洛特谈阿诺德被嘘：球迷有权持有自己观点；换上他是为了赢球,2025-05-12 02:41:27　,懂球帝,北京,259341,29410
2068分，巴萨反超皇马成为21世纪西甲积分最多的球队,2025-05-12 07:07:11　,懂球帝,北京,259341,29410
曾是詹vs杜/库vs登！美媒：约基奇vsSGA是新世纪第4次MVP前二较量,2025-05-12 07:07:15　,直播吧,福建,1149286,689556
麦克托米奈本赛季在意甲已送出4次助攻，等于此前八个赛季的总和,2025-05-12 07:07:14　,直播吧,福建,1149286,689556
意媒：国米本赛季欧冠奖金已达1.32亿欧，创意大利俱乐部纪录,2025-05-12 07:07:11　,懂球帝,北京,259341,29410
斯基拉：巴里奥斯距离与马竞续约至2030年只有一步之遥,2025-05-12 07:07:11　,懂球帝,北京,259341,29410
国家德比助攻戴帽，费兰：球带回家了，西甲冠军也快了,2025-05-12 07:07:11　,懂球帝,北京,259341,29410
尤文跟队：瓜迪奥拉对萨沃纳评价很高，并且曾派球探现场考察,2025-05-12 07:07:10　,懂球帝,北京,259341,29410
进攻端十分挣扎，威少投篮12中2得6分3板，正负值-20全场最低,2025-05-12 07:07:11　,懂球帝,北京,259341,29410
